gml_id,namespace,localId,label,heatConten,emissionHe,diurnalVar,value,q,x,y
ES.1,NL.IMAER,ES.1,NOX (8446),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,73.66809600000001,0,0)",73.668096,164100.000,496400.000
ES.2,NL.IMAER,ES.2,NOX (8447),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,207.096912,0,0)",207.096912,164100.000,496400.000
ES.3,NL.IMAER,ES.3,NOX (8448),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,149.48064,0,0)",149.480640,164100.000,496400.000
ES.4,NL.IMAER,ES.4,NOX (8449),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,361.0872,0,0)",361.087200,164100.000,496400.000
ES.5,NL.IMAER,ES.5,NOX (8450),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,277.012224,0,0)",277.012224,164100.000,496400.000
ES.6,NL.IMAER,ES.6,NOX (8451),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,20.198808,0,0)",20.198808,164303.000,496448.000
ES.7,NL.IMAER,ES.7,NOX (8452),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,100.820592,0,0)",100.820592,164147.000,496605.000
ES.8,NL.IMAER,ES.8,NOX (8453),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,276.507648,0,0)",276.507648,164170.000,496332.000
ES.9,NL.IMAER,ES.9,NOX (8454),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,31.189104,0,0)",31.189104,164279.000,496725.000
ES.10,NL.IMAER,ES.10,NOX (8455),0.000000000000000,15.000000000000000,CONTINUOUS,"(4:0,8.486337599999999,0,0)",8.486338,164016.000,496485.000
ES.11,NL.IMAER,ES.11,NOX (8456),0.000000000000000,16.000000000000000,CONTINUOUS,"(4:0,70.95599999999999,0,0)",70.956000,163872.000,496354.000
ES.12,NL.IMAER,ES.12,NOX (8457),0.000000000000000,19.000000000000000,CONTINUOUS,"(4:0,12.1287456,0,0)",12.128746,163879.000,496363.000
ES.13,NL.IMAER,ES.13,NOX (8458),0.000000000000000,21.000000000000000,CONTINUOUS,"(4:0,2.40083568,0,0)",2.400836,163754.000,496247.000
ES.14,NL.IMAER,ES.14,NOX (8459),0.000000000000000,21.000000000000000,CONTINUOUS,"(4:0,20.214576,0,0)",20.214576,164419.000,496584.000
ES.15,NL.IMAER,ES.15,NOX (8460),0.000000000000000,25.000000000000000,CONTINUOUS,"(4:0,12.251736,0,0)",12.251736,163627.000,496131.000
ES.16,NL.IMAER,ES.16,NOX (8461),0.000000000000000,30.000000000000000,CONTINUOUS,"(4:0,25.1278848,0,0)",25.127885,164567.000,496689.000
ES.17,NL.IMAER,ES.17,NOX (8462),0.000000000000000,31.000000000000000,CONTINUOUS,"(4:0,0.4604256,0,0)",0.460426,163492.000,496007.000
ES.18,NL.IMAER,ES.18,NOX (8463),0.000000000000000,34.000000000000000,CONTINUOUS,"(4:0,124.945632,0,0)",124.945632,164043.000,496210.000
ES.19,NL.IMAER,ES.19,NOX (8464),0.000000000000000,35.000000000000000,CONTINUOUS,"(4:0,10.1167488,0,0)",10.116749,164137.000,496599.000
ES.20,NL.IMAER,ES.20,NOX (8465),0.000000000000000,45.000000000000000,CONTINUOUS,"(4:0,43.645824,0,0)",43.645824,164394.000,496830.000
ES.21,NL.IMAER,ES.21,NOX (8466),0.000000000000000,46.000000000000000,CONTINUOUS,"(4:0,22.15404,0,0)",22.154040,164684.000,496812.000
ES.22,NL.IMAER,ES.22,NOX (8467),0.000000000000000,52.000000000000000,CONTINUOUS,"(4:0,64.61726400000001,0,0)",64.617264,163641.000,496143.000
ES.23,NL.IMAER,ES.23,NOX (8468),0.000000000000000,56.000000000000000,CONTINUOUS,"(4:0,270.641952,0,0)",270.641952,163907.000,496086.000
ES.24,NL.IMAER,ES.24,NOX (8469),0.000000000000000,57.000000000000000,CONTINUOUS,"(4:0,29.2685616,0,0)",29.268562,164830.000,496927.000
ES.25,NL.IMAER,ES.25,NOX (8470),0.000000000000000,69.000000000000000,CONTINUOUS,"(4:0,16.24104,0,0)",16.241040,164541.000,496963.000
ES.26,NL.IMAER,ES.26,NOX (8471),0.000000000000000,76.000000000000000,CONTINUOUS,"(4:0,4.4055792,0,0)",4.405579,163385.000,495909.000
ES.27,NL.IMAER,ES.27,NOX (8472),0.000000000000000,77.000000000000000,CONTINUOUS,"(4:0,2.84076288,0,0)",2.840763,164385.000,496827.000
ES.28,NL.IMAER,ES.28,NOX (8473),0.000000000000000,78.000000000000000,CONTINUOUS,"(4:0,91.675152,0,0)",91.675152,163782.000,495971.000
ES.29,NL.IMAER,ES.29,NOX (8474),0.000000000000000,78.000000000000000,CONTINUOUS,"(4:0,17.8115328,0,0)",17.811533,164939.000,497057.000
ES.30,NL.IMAER,ES.30,NOX (8475),0.000000000000000,82.000000000000000,CONTINUOUS,"(4:0,38.663136,0,0)",38.663136,165102.000,497169.000
ES.31,NL.IMAER,ES.31,NOX (8476),0.000000000000000,82.000000000000000,CONTINUOUS,"(4:0,4.1186016,0,0)",4.118602,163492.000,496008.000
ES.32,NL.IMAER,ES.32,NOX (8477),0.000000000000000,86.000000000000000,CONTINUOUS,"(4:0,33.775056,0,0)",33.775056,164666.000,497077.000
ES.33,NL.IMAER,ES.33,NOX (8478),0.000000000000000,86.000000000000000,CONTINUOUS,"(4:0,23.856984,0,0)",23.856984,165343.000,497265.000
ES.34,NL.IMAER,ES.34,NOX (8479),0.000000000000000,95.000000000000000,CONTINUOUS,"(4:0,5.4651888,0,0)",5.465189,165175.000,497318.000
ES.35,NL.IMAER,ES.35,NOX (8480),0.000000000000000,96.000000000000000,CONTINUOUS,"(4:0,33.081264,0,0)",33.081264,165605.000,497110.000
ES.36,NL.IMAER,ES.36,NOX (8481),0.000000000000000,99.000000000000000,CONTINUOUS,"(4:0,9.918072,0,0)",9.918072,165462.000,497234.000
ES.37,NL.IMAER,ES.37,NOX (8482),0.000000000000000,100.000000000000000,CONTINUOUS,"(4:0,58.057776,0,0)",58.057776,163367.000,495894.000
ES.38,NL.IMAER,ES.38,NOX (8483),0.000000000000000,101.000000000000000,CONTINUOUS,"(4:0,301.294944,0,0)",301.294944,163646.000,495846.000
ES.39,NL.IMAER,ES.39,NOX (8484),0.000000000000000,102.000000000000000,CONTINUOUS,"(4:0,7.6033296,0,0)",7.603330,165726.000,496973.000
ES.40,NL.IMAER,ES.40,NOX (8485),0.000000000000000,104.000000000000000,CONTINUOUS,"(4:0,21.0692016,0,0)",21.069202,164803.000,497202.000
ES.41,NL.IMAER,ES.41,NOX (8486),0.000000000000000,110.000000000000000,CONTINUOUS,"(4:0,0.279030528,0,0)",0.279031,162187.000,494809.000
ES.42,NL.IMAER,ES.42,NOX (8487),0.000000000000000,114.000000000000000,CONTINUOUS,"(4:0,28.7324496,0,0)",28.732450,165838.000,496857.000
ES.43,NL.IMAER,ES.43,NOX (8488),0.000000000000000,115.000000000000000,CONTINUOUS,"(4:0,0.262411056,0,0)",0.262411,162061.000,494694.000
ES.44,NL.IMAER,ES.44,NOX (8489),0.000000000000000,119.000000000000000,CONTINUOUS,"(4:0,29.1203424,0,0)",29.120342,164928.000,497315.000
ES.45,NL.IMAER,ES.45,NOX (8490),0.000000000000000,119.000000000000000,CONTINUOUS,"(4:0,1.44497952,0,0)",1.444980,165184.000,497560.000
ES.46,NL.IMAER,ES.46,NOX (8491),0.000000000000000,120.000000000000000,CONTINUOUS,"(4:0,10.0946736,0,0)",10.094674,163229.000,495769.000
ES.47,NL.IMAER,ES.47,NOX (8492),0.000000000000000,122.000000000000000,CONTINUOUS,"(4:0,0.6234667199999999,0,0)",0.623467,163231.000,495768.000
ES.48,NL.IMAER,ES.48,NOX (8493),0.000000000000000,123.000000000000000,CONTINUOUS,"(4:0,2.94483168,0,0)",2.944832,164662.000,497081.000
ES.49,NL.IMAER,ES.49,NOX (8494),0.000000000000000,123.000000000000000,CONTINUOUS,"(4:0,59.79225599999999,0,0)",59.792256,163521.000,495731.000
ES.50,NL.IMAER,ES.50,NOX (8495),0.000000000000000,124.000000000000000,CONTINUOUS,"(4:0,1.53864144,0,0)",1.538641,165320.000,497685.000
ES.51,NL.IMAER,ES.51,NOX (8496),0.000000000000000,125.000000000000000,CONTINUOUS,"(4:0,0.50047632,0,0)",0.500476,162331.000,494941.000
ES.52,NL.IMAER,ES.52,NOX (8497),0.000000000000000,125.000000000000000,CONTINUOUS,"(4:0,0.31914432,0,0)",0.319144,161925.000,494569.000
ES.53,NL.IMAER,ES.53,NOX (8498),0.000000000000000,126.000000000000000,CONTINUOUS,"(4:0,28.3824,0,0)",28.382400,165961.000,496628.000
ES.54,NL.IMAER,ES.54,NOX (8499),0.000000000000000,127.000000000000000,CONTINUOUS,"(4:0,1.17692352,0,0)",1.176924,165445.000,497800.000
ES.55,NL.IMAER,ES.55,NOX (8500),0.000000000000000,128.000000000000000,CONTINUOUS,"(4:0,2.1476016,0,0)",2.147602,163511.000,495012.000
ES.56,NL.IMAER,ES.56,NOX (8501),0.000000000000000,128.000000000000000,CONTINUOUS,"(4:0,1.11826656,0,0)",1.118267,162584.000,495173.000
ES.57,NL.IMAER,ES.57,NOX (8502),0.000000000000000,132.000000000000000,CONTINUOUS,"(4:0,1.75687056,0,0)",1.756871,165582.000,497925.000
ES.58,NL.IMAER,ES.58,NOX (8503),0.000000000000000,133.000000000000000,CONTINUOUS,"(4:0,1.1778696,0,0)",1.177870,163767.000,494758.000
ES.59,NL.IMAER,ES.59,NOX (8504),0.000000000000000,134.000000000000000,CONTINUOUS,"(4:0,2.2753224,0,0)",2.275322,164922.000,497319.000
ES.60,NL.IMAER,ES.60,NOX (8505),0.000000000000000,135.000000000000000,CONTINUOUS,"(4:0,0.214634016,0,0)",0.214634,161800.000,494454.000
ES.61,NL.IMAER,ES.61,NOX (8506),0.000000000000000,135.000000000000000,CONTINUOUS,"(4:0,24.929208,0,0)",24.929208,163405.000,495138.000
ES.62,NL.IMAER,ES.62,NOX (8507),0.000000000000000,135.000000000000000,CONTINUOUS,"(4:0,26.2631808,0,0)",26.263181,165065.000,497440.000
ES.63,NL.IMAER,ES.63,NOX (8508),0.000000000000000,136.000000000000000,CONTINUOUS,"(4:0,23.5542384,0,0)",23.554238,165887.000,496379.000
ES.64,NL.IMAER,ES.64,NOX (8509),0.000000000000000,136.000000000000000,CONTINUOUS,"(4:0,0.9366192,0,0)",0.936619,165707.000,498040.000
ES.65,NL.IMAER,ES.65,NOX (8510),0.000000000000000,137.000000000000000,CONTINUOUS,"(4:0,176.28624,0,0)",176.286240,163420.000,495635.000
ES.66,NL.IMAER,ES.66,NOX (8511),0.000000000000000,137.000000000000000,CONTINUOUS,"(4:0,51.971328,0,0)",51.971328,163106.000,495656.000
ES.67,NL.IMAER,ES.67,NOX (8512),0.000000000000000,137.000000000000000,CONTINUOUS,"(4:0,22.5072432,0,0)",22.507243,163603.000,494881.000
ES.68,NL.IMAER,ES.68,NOX (8513),0.000000000000000,138.000000000000000,CONTINUOUS,"(4:0,7.552872,0,0)",7.552872,163889.000,494723.000
ES.69,NL.IMAER,ES.69,NOX (8514),0.000000000000000,138.000000000000000,CONTINUOUS,"(4:0,1.06307856,0,0)",1.063079,165757.000,496244.000
ES.70,NL.IMAER,ES.70,NOX (8515),0.000000000000000,140.000000000000000,CONTINUOUS,"(4:0,0.654372,0,0)",0.654372,162711.000,495290.000
ES.71,NL.IMAER,ES.71,NOX (8516),0.000000000000000,141.000000000000000,CONTINUOUS,"(4:0,1.99749024,0,0)",1.997490,165843.000,498165.000
ES.72,NL.IMAER,ES.72,NOX (8517),0.000000000000000,142.000000000000000,CONTINUOUS,"(4:0,20.056896,0,0)",20.056896,165625.000,496127.000
ES.73,NL.IMAER,ES.73,NOX (8518),0.000000000000000,145.000000000000000,CONTINUOUS,"(4:0,0.36644832,0,0)",0.366448,161664.000,494329.000
ES.74,NL.IMAER,ES.74,NOX (8519),0.000000000000000,145.000000000000000,CONTINUOUS,"(4:0,1.39483728,0,0)",1.394837,165491.000,496008.000
ES.75,NL.IMAER,ES.75,NOX (8520),0.000000000000000,145.000000000000000,CONTINUOUS,"(4:0,0.69631488,0,0)",0.696315,165968.000,498280.000
ES.76,NL.IMAER,ES.76,NOX (8521),0.000000000000000,146.000000000000000,CONTINUOUS,"(4:0,2.25986976,0,0)",2.259870,164033.000,494736.000
ES.77,NL.IMAER,ES.77,NOX (8522),0.000000000000000,148.000000000000000,CONTINUOUS,"(4:0,0.7029374399999999,0,0)",0.702937,162448.000,495048.000
ES.78,NL.IMAER,ES.78,NOX (8523),0.000000000000000,148.000000000000000,CONTINUOUS,"(4:0,18.700848,0,0)",18.700848,165366.000,495896.000
ES.79,NL.IMAER,ES.79,NOX (8524),0.000000000000000,149.000000000000000,CONTINUOUS,"(4:0,3.4563456,0,0)",3.456346,163106.000,495653.000
ES.80,NL.IMAER,ES.80,NOX (8525),0.000000000000000,149.000000000000000,CONTINUOUS,"(4:0,1.86314688,0,0)",1.863147,162855.000,495422.000
ES.81,NL.IMAER,ES.81,NOX (8526),0.000000000000000,150.000000000000000,CONTINUOUS,"(4:0,42.857424,0,0)",42.857424,163301.000,495378.000
ES.82,NL.IMAER,ES.82,NOX (8527),0.000000000000000,150.000000000000000,CONTINUOUS,"(4:0,2.22612624,0,0)",2.226126,166104.000,498405.000
ES.83,NL.IMAER,ES.83,NOX (8528),0.000000000000000,150.000000000000000,CONTINUOUS,"(4:0,23.8538304,0,0)",23.853830,165190.000,497554.000
ES.84,NL.IMAER,ES.84,NOX (8529),0.000000000000000,151.000000000000000,CONTINUOUS,"(4:0,5.0489136,0,0)",5.048914,164147.000,494813.000
ES.85,NL.IMAER,ES.85,NOX (8530),0.000000000000000,151.000000000000000,CONTINUOUS,"(4:0,3.6392544,0,0)",3.639254,165229.000,495771.000
ES.86,NL.IMAER,ES.86,NOX (8531),0.000000000000000,151.000000000000000,CONTINUOUS,"(4:0,2.2690152,0,0)",2.269015,164305.000,494951.000
ES.87,NL.IMAER,ES.87,NOX (8532),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,2.88018288,0,0)",2.880183,164430.000,495062.000
ES.88,NL.IMAER,ES.88,NOX (8533),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,2.89910448,0,0)",2.899104,164570.000,495187.000
ES.89,NL.IMAER,ES.89,NOX (8534),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,2.21256576,0,0)",2.212566,164695.000,495297.000
ES.90,NL.IMAER,ES.90,NOX (8535),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,0.051687504,0,0)",0.051688,165761.000,497007.000
ES.91,NL.IMAER,ES.91,NOX (8536),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,4.25736,0,0)",4.257360,164869.000,495404.000
ES.92,NL.IMAER,ES.92,NOX (8537),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,4.2226704,0,0)",4.222670,163600.000,485192.000
ES.93,NL.IMAER,ES.93,NOX (8538),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,485375.000
ES.94,NL.IMAER,ES.94,NOX (8539),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,487875.000
ES.95,NL.IMAER,ES.95,NOX (8540),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,488875.000
ES.96,NL.IMAER,ES.96,NOX (8541),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,492625.000
ES.97,NL.IMAER,ES.97,NOX (8542),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,486875.000
ES.98,NL.IMAER,ES.98,NOX (8543),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,489875.000
ES.99,NL.IMAER,ES.99,NOX (8544),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,486375.000
ES.100,NL.IMAER,ES.100,NOX (8545),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,491625.000
ES.101,NL.IMAER,ES.101,NOX (8546),0.000000000000000,152.000000000000000,CONTINUOUS,"(4:0,10.3784976,0,0)",10.378498,163600.000,485875.000
